time,lyrics
0,
6600,響き渡れ凱歌よ (どこまでも)
17933,開かれた未来はもう (この手へと)
26750,
47767,鮮烈な日々を駆けた 夢と切り合って攻防戦、丁々発止
57567,ちっぽけな勇気の手を 一連托生に Play a game!
64833,聞け、鬨の声
67167,
67217,雨に風 荒くれて
69667,自分さえ見えなくて
72117,あの時の 眼差しよ
74567,そのまま突き進め
76967,涙超えて疾りきった先に…
82667,あまねく勝利
84967,嘗てない時代
86967,その中心に立ってる (立ってた) 私
91967,
93550,響かせようよ凱歌を
96750,どこまでも Ah
99667,遮る物のない地平へ
103033,開かれた未来はもう
106550,揺るぎのない Place
109467,天上天下そう讃えてる
112833,I've got pride and dreams
114200,さあ、笑顔を見せて
119417,刻まれたんだ
121250,My history[COMMA] my victory!
127483,
130417,響き渡れ凱歌よ (どこまでも)
142367,開かれた未来はもう (この手へと)
150783,Ms. VICTORIA
160700,